iter	RMSE
0	0.714855447
1	0.6908204821
2	0.6699435354
3	0.6488487603
4	0.6298776286
5	0.6123066307
6	0.595029947
7	0.5786970672
8	0.5640805665
9	0.5497651016
10	0.5378019154
11	0.5252847003
12	0.5135128728
13	0.501969368
14	0.4916775322
15	0.4818787992
16	0.4721957656
17	0.4632464957
18	0.454384377
19	0.4465347938
20	0.4395627116
21	0.4335085842
22	0.4270413099
23	0.4208213695
24	0.4153322803
25	0.4097401616
26	0.4039520661
27	0.3990068871
28	0.3943486939
29	0.3900327798
30	0.3865978087
31	0.3826532939
32	0.3790749739
33	0.375723508
34	0.3723655142
35	0.3690256364
36	0.3656807099
37	0.3628963794
38	0.3587862577
39	0.3562614526
40	0.3530866021
41	0.3500743483
42	0.3470570334
43	0.3445230971
44	0.3424044889
45	0.3406488869
46	0.338735809
47	0.3364986254
48	0.3346124465
49	0.3325401241
50	0.3309255856
51	0.3291134381
52	0.327444553
53	0.3257376078
54	0.3237562839
55	0.3220555805
56	0.3206254475
57	0.3194391063
58	0.3176724885
59	0.3164934446
60	0.3150200776
61	0.3138533963
62	0.3127169549
63	0.3116727416
64	0.3108202378
65	0.3096422259
66	0.3086658735
67	0.3076479651
68	0.306655152
69	0.3055489885
70	0.3045406202
71	0.3036660341
72	0.3029678606
73	0.3022070643
74	0.3013705458
75	0.3004699453
76	0.2997991207
77	0.2990253974
78	0.2983334646
79	0.2977129984
80	0.2970703383
81	0.2964222805
82	0.2955567541
83	0.2948783993
84	0.2939886036
85	0.2934511059
86	0.292525463
87	0.2919574733
88	0.2913854315
89	0.2906509836
90	0.2902275865
91	0.2897200672
92	0.28925854
93	0.2887436316
94	0.2882755149
95	0.2877474076
96	0.2872030767
97	0.2865196165
98	0.2859684598
99	0.2854936366
100	0.2851047024
101	0.284778656
102	0.2844184477
103	0.2835215663
104	0.2830543748
105	0.2824457414
106	0.281912155
107	0.2815913294
108	0.2809471257
109	0.2803654766
110	0.2799657875
111	0.2795948815
112	0.2792502037
113	0.2789018015
114	0.2785062021
115	0.2781646709
116	0.2777386533
117	0.2771905397
118	0.2769155989
119	0.2765117737
120	0.2759673249
121	0.2754344561
122	0.2749162949
123	0.2745230744
124	0.2741699109
125	0.2737762867
126	0.2732959712
127	0.2727856469
128	0.2724007633
129	0.2719395674
130	0.2716217858
131	0.2714014239
132	0.2711092295
133	0.2707590157
134	0.2705794456
135	0.2700979276
136	0.2698737584
137	0.2694406806
138	0.2691595037
139	0.2683885402
140	0.2680235311
141	0.2678232662
142	0.2675908736
143	0.2670969846
144	0.2668893502
145	0.2664231424
146	0.2662424884
147	0.2659799142
148	0.2654695533
149	0.2648874234
150	0.2643312146
151	0.2641305713
152	0.2638975934
153	0.2635446094
154	0.2631313445
155	0.262703896
156	0.2625313109
157	0.2620035646
158	0.2617491335
159	0.2610223736
160	0.2605774114
161	0.2600808804
162	0.2598674982
163	0.2596151114
164	0.2592907145
165	0.2587094895
166	0.2582824664
167	0.257829744
168	0.2572800137
169	0.2570062496
170	0.2567334481
171	0.2564095747
172	0.256124713
173	0.2557867436
174	0.2554054411
175	0.2552659394
176	0.2548571965
177	0.2545671393
178	0.2543752014
179	0.2543462453
180	0.2541411738
181	0.2538914407
182	0.253700188
183	0.2535600314
184	0.2532453976
185	0.2528523662
186	0.2527871119
187	0.2527605893
188	0.2525001548
189	0.2522990841
190	0.2521716086
191	0.2521122572
